tenantid,address,price,floor_area,station_name,detail_url,img_url,shikikin,reikin,hosho,kaiyaku
112776,千代田区西神田2,47.30万,40.00㎡,JR総武・中央緩行線　水道橋 4,https://www.tenant-shop.com/detail/e-112776/,https://www.tenant-shop.com/user/images/f11124-/f11124-16979434471.jpg,無,2.0,6.0,無
112580,千代田区鍛冶町1,61.05万(税別),122.31㎡,神田 1,https://www.tenant-shop.com/detail/e-112580/,https://www.tenant-shop.com/user/images/f11134-/f11134-16976000111.jpg,無,無,10.0,1.0
112547,千代田区内神田1,120.17万,361.16㎡,山手線　神田 7,https://www.tenant-shop.com/detail/e-112547/,https://www.tenant-shop.com/user/images/f11036-/f11036-1697525587.png,8.0,無,無,無
112206,千代田区鍛冶町1-4-6,34.29万,47.94㎡,ＪＲ中央本線,https://www.tenant-shop.com/detail/e-112206/,https://www.tenant-shop.com/user/images/f11124-/f11124-16969415681.jpg,無,無,8.0,無
112137,千代田区外神⽥１丁⽬ 15-3,1450.00万,1345.16㎡,ＪＲ⼭⼿線,https://www.tenant-shop.com/detail/e-112137/,https://www.tenant-shop.com/user/images/f11137-/f11137-16968392412.jpg,12.0,無,無,無
112133,千代田区五番町 12-11,77.00万,123.90㎡,ＪＲ総武・中央緩⾏線,https://www.tenant-shop.com/detail/e-112133/,https://www.tenant-shop.com/user/images/f11137-/f11137-16968382732.jpg,無,無,10.0,無
111660,千代田区岩本町1-8-3,36.19万,77.68㎡,東京メトロ⽇⽐⾕線「⼩伝⾺町」 2,https://www.tenant-shop.com/detail/e-111660/,https://www.tenant-shop.com/user/images/f11124-/f11124-16959674862.jpg,6.0,無,無,無
111452,千代田区平河町1-2-2,33.80万,72.56㎡,東京メトロ半蔵⾨線「半蔵⾨」 5,https://www.tenant-shop.com/detail/e-111452/,https://www.tenant-shop.com/user/images/f11124-/f11124-16956253172.jpg,無,無,8.0,2.0
111383,千代田区九段南4-3-7,70.51万,176.60㎡,都営新宿線「市ヶ⾕」 2,https://www.tenant-shop.com/detail/e-111383/,https://www.tenant-shop.com/user/images/f11124-/f11124-16955476433.jpg,無,無,3.0,2.0
111363,千代田区平河町1-9-1,14.00万,54.88㎡,東京メトロ半蔵⾨線「半蔵⾨」 2,https://www.tenant-shop.com/detail/e-111363/,https://www.tenant-shop.com/user/images/f11124-/f11124-169551036912.jpg,1.0,無,無,1.0
111248,千代田区神田須田町2-6-2,24.00万,87.36㎡,都営新宿線「岩本町」 1,https://www.tenant-shop.com/detail/e-111248/,https://www.tenant-shop.com/user/images/f11124-/f11124-16952996552.jpg,無,1.0,4.0,無
110924,千代田区神⽥淡路町1-19-1,42.71万,61.14㎡,都営新宿線「⼩川町」 2,https://www.tenant-shop.com/detail/e-110924/,https://www.tenant-shop.com/user/images/f11124-/f11124-16947747851.jpg,無,無,6.0,10.0
110782,千代田区内神田2-15-2,69.74万,109.81㎡,ＪＲ中央本線「神⽥」 3,https://www.tenant-shop.com/detail/e-110782/,https://www.tenant-shop.com/user/images/f11124-/f11124-16945223782.jpg,8.0,無,無,無
110574,千代田区神田美土代町9-17,47.28万,113.69㎡,東京メトロ丸ノ内線「淡路町」 3,https://www.tenant-shop.com/detail/e-110574/,https://www.tenant-shop.com/user/images/f11124-/f11124-169424032115.jpg,無,無,5.0,無
110532,千代田区九段南,164.00万(税別),133.05㎡,九段下 4,https://www.tenant-shop.com/detail/e-110532/,https://www.tenant-shop.com/user/images/f11151-/f11151-1694154870.jpg,無,1.0,10.0,無
112642,千代田区四番町2,185.00万,304.29㎡,JR総武・中央緩行線　市ヶ谷 3,https://www.tenant-shop.com/detail/e-112642/,https://www.tenant-shop.com/user/images/f11036-/f11036-16976876891.jpg,無,無,3.0,無
112576,千代田区鍛冶町1,60.00万(税別),67.84㎡,神田 2,https://www.tenant-shop.com/detail/e-112576/,https://www.tenant-shop.com/user/images/f11134-/f11134-16975990071.jpg,無,1.0,12.0,無
112486,千代田区鍛冶町2,99.00万,72.43㎡,ＪＲ⼭⼿線,https://www.tenant-shop.com/detail/e-112486/,https://www.tenant-shop.com/user/images/f11124-/f11124-16974577843.jpg,無,1.0,10.0,2.0
112137,千代田区外神⽥１丁⽬ 15-3,1450.00万,1345.16㎡,ＪＲ⼭⼿線,https://www.tenant-shop.com/detail/e-112137/,https://www.tenant-shop.com/user/images/f11137-/f11137-16968392411.jpg,12.0,無,無,無
112135,千代田区九段南４丁⽬ 3-7,70.50万,176.60㎡,都営新宿線,https://www.tenant-shop.com/detail/e-112135/,https://www.tenant-shop.com/user/images/f11137-/f11137-16968388022.jpg,無,無,3.0,無
