ランキング,駅名,利用者数(人/日)
1,新宿,3725117
2,渋谷,3317667
3,池袋,2645890
5,北千住,1598718
6,東京,1141927
7,品川,1040256
8,新橋,966810
9,高田馬場,918159
10,秋葉原,813845
11,押上,767036
12,目黒,740994
15,上野,625916
16,代々木上原,584470
18,有楽町,512493
20,大崎,485857
22,綾瀬,483544
24,大手町,476678
25,五反田,466457
26,中野,465281
27,蒲田,458704
28,浜松町,444657
29,大井町,440858
31,中目黒,427129
34,恵比寿,409405
35,飯田橋,409236
37,西日暮里,398728
39,日暮里,386763
44,小竹向原,339618
45,新木場,335047
48,四ツ谷,325033
49,錦糸町,321499
50,田町,317678
56,日本橋,301572
57,九段下,292439
58,神田,275636
59,荻窪,275054
63,御徒町,266478
64,御茶ノ水,266445
66,豊洲,256643
67,原宿,256513
70,巣鴨,246991
72,新宿三丁目,239825
76,浅草,232807
77,六本木,231702
84,日比谷,212431
85,水道橋,210993
86,門前仲町,206722
91,赤羽,196740
94,大森,192628
96,王子,191305
104,代々木,177590
110,浅草橋,168201
119,新小岩,154012
